"constraint_name","child_table","child_column","parent_table","parent_column"
"iam_identities_ibfk_1","iam_identities","user_id","iam_users","user_id"
"iam_permissions_ibfk_1","iam_permissions","created_by","iam_users","user_id"
"iam_permissions_ibfk_2","iam_permissions","updated_by","iam_users","user_id"
"iam_role_permissions_ibfk_2","iam_role_permissions","permission_id","iam_permissions","permission_id"
"iam_role_permissions_ibfk_3","iam_role_permissions","role_id","iam_roles","role_id"
"iam_role_permissions_ibfk_1","iam_role_permissions","created_by","iam_users","user_id"
"iam_role_permissions_ibfk_4","iam_role_permissions","updated_by","iam_users","user_id"
"iam_roles_ibfk_1","iam_roles","created_by","iam_users","user_id"
"iam_roles_ibfk_2","iam_roles","updated_by","iam_users","user_id"
"iam_user_centro_access_ibfk_1","iam_user_centro_access","granted_by","iam_users","user_id"
"iam_user_centro_access_ibfk_2","iam_user_centro_access","user_id","iam_users","user_id"
"iam_user_contrato_access_ibfk_1","iam_user_contrato_access","granted_by","iam_users","user_id"
"iam_user_contrato_access_ibfk_3","iam_user_contrato_access","user_id","iam_users","user_id"
"iam_user_contrato_access_ibfk_2","iam_user_contrato_access","id_contrato","tesoreria_contratos","id_contrato"
"iam_user_roles_ibfk_2","iam_user_roles","role_id","iam_roles","role_id"
"iam_user_roles_ibfk_1","iam_user_roles","granted_by","iam_users","user_id"
"iam_user_roles_ibfk_3","iam_user_roles","user_id","iam_users","user_id"
"iam_users_ibfk_1","iam_users","employee_id","rrhh_empleados","id_empleado"
"pld_contrapartes_docs_ibfk_2","pld_contrapartes_docs","created_by","iam_users","user_id"
"pld_contrapartes_docs_ibfk_3","pld_contrapartes_docs","updated_by","iam_users","user_id"
"pld_contrapartes_docs_ibfk_1","pld_contrapartes_docs","id_kyc","pld_contrapartes_kyc","id_kyc"
"pld_contrapartes_kyc_ibfk_2","pld_contrapartes_kyc","created_by","iam_users","user_id"
"pld_contrapartes_kyc_ibfk_3","pld_contrapartes_kyc","updated_by","iam_users","user_id"
"pld_contrapartes_kyc_ibfk_aprobado_por","pld_contrapartes_kyc","aprobado_por","iam_users","user_id"
"pld_contrapartes_kyc_ibfk_1","pld_contrapartes_kyc","id_contraparte","tesoreria_contrapartes","id_contraparte"
"pld_ticket_cliente_ibfk_3","pld_ticket_cliente","issued_by","iam_users","user_id"
"pld_ticket_cliente_ibfk_2","pld_ticket_cliente","id_kyc","pld_contrapartes_kyc","id_kyc"
"rentas_contratos_ibfk_2","rentas_contratos","arrendador","general_sociedades","rfc"
"rentas_contratos_ibfk_5","rentas_contratos","created_by","iam_users","user_id"
"rentas_contratos_ibfk_6","rentas_contratos","updated_by","iam_users","user_id"
"rentas_contratos_ibfk_3","rentas_contratos","arrendatario","tesoreria_contrapartes","id_contraparte"
"rentas_contratos_ibfk_4","rentas_contratos","fiador","tesoreria_contrapartes","id_contraparte"
