"TABLE_NAME","COLUMN_NAME","COLUMN_TYPE","IS_NULLABLE","COLUMN_KEY","COLUMN_DEFAULT","EXTRA"
"factura_conceptos","id","int","NO","PRI","","auto_increment"
"factura_conceptos","UUID","varchar(50)","YES","MUL","",""
"factura_conceptos","ClaveProdServ","varchar(20)","YES","","",""
"factura_conceptos","NoIdentificacion","varchar(200)","YES","","",""
"factura_conceptos","Cantidad","decimal(18,2)","YES","","",""
"factura_conceptos","ClaveUnidad","varchar(10)","YES","","",""
"factura_conceptos","Unidad","varchar(20)","YES","","",""
"factura_conceptos","Descripcion","text","YES","","",""
"factura_conceptos","ValorUnitario","varchar(50)","YES","","",""
"factura_conceptos","Importe","varchar(50)","YES","","",""
"factura_conceptos","Descuento","varchar(50)","YES","","",""
"factura_conceptos","ObjetoImp","varchar(5)","YES","","",""
"factura_conceptos","created_at","timestamp","YES","","now()","DEFAULT_GENERATED"
"factura_conceptos","updated_at","datetime","YES","","now()","DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
"factura_conceptos","created_by","varchar(100)","YES","","",""
"factura_conceptos","updated_by","varchar(100)","YES","","",""
"factura_conceptos","rfc_propietario","varchar(50)","YES","","",""
"factura_doctos_relacionados","id","int","NO","PRI","","auto_increment"
"factura_doctos_relacionados","Timbre_UUID","varchar(36)","YES","MUL","",""
"factura_doctos_relacionados","IdDocumento","varchar(36)","YES","","",""
"factura_doctos_relacionados","Serie","varchar(25)","YES","","",""
"factura_doctos_relacionados","Folio","varchar(25)","YES","","",""
"factura_doctos_relacionados","MonedaDR","varchar(5)","YES","","",""
"factura_doctos_relacionados","EquivalenciaDR","varchar(50)","YES","","",""
"factura_doctos_relacionados","NumParcialidad","int","YES","","",""
"factura_doctos_relacionados","ImpSaldoAnt","decimal(18,2)","YES","","",""
"factura_doctos_relacionados","ImpPagado","decimal(18,2)","YES","","",""
"factura_doctos_relacionados","ImpSaldoInsoluto","decimal(18,2)","YES","","",""
"factura_doctos_relacionados","ObjetoImpDR","varchar(5)","YES","","",""
"factura_doctos_relacionados","created_at","timestamp","YES","","now()","DEFAULT_GENERATED"
"factura_doctos_relacionados","updated_at","datetime","YES","","now()","DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
"factura_doctos_relacionados","created_by","varchar(100)","YES","","",""
"factura_doctos_relacionados","updated_by","varchar(100)","YES","","",""
"factura_doctos_relacionados","rfc_propietario","varchar(50)","YES","","",""
"factura_notas_credito","id","int","NO","PRI","","auto_increment"
"factura_notas_credito","uuid","varchar(50)","YES","MUL","",""
"factura_notas_credito","uuid_relacionado","varchar(200)","YES","","",""
"factura_notas_credito","ClaveProdServ","varchar(100)","YES","","",""
"factura_notas_credito","NoIdentificacion","varchar(50)","YES","","",""
"factura_notas_credito","Cantidad","decimal(20,6)","YES","","",""
"factura_notas_credito","ClaveUnidad","varchar(50)","YES","","",""
"factura_notas_credito","Unidad","varchar(50)","YES","","",""
"factura_notas_credito","Descripcion","varchar(700)","YES","","",""
"factura_notas_credito","ValorUnitario","decimal(20,6)","YES","","",""
"factura_notas_credito","Importe","decimal(20,6)","YES","","",""
"factura_notas_credito","ObjetoImp","varchar(50)","YES","","",""
"factura_notas_credito","Base","varchar(50)","YES","","",""
"factura_notas_credito","Impuesto","varchar(50)","YES","","",""
"factura_notas_credito","TipoFactor","varchar(50)","YES","","",""
"factura_notas_credito","TasaOCuota","varchar(50)","YES","","",""
"factura_notas_credito","ImporteTraslado","varchar(50)","YES","","",""
"factura_notas_credito","TotalImpuestosTrasladados","varchar(50)","YES","","",""
"factura_notas_credito","created_at","timestamp","YES","","now()","DEFAULT_GENERATED"
"factura_notas_credito","updated_at","datetime","YES","","now()","DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
"factura_notas_credito","created_by","varchar(100)","YES","","",""
"factura_notas_credito","updated_by","varchar(100)","YES","","",""
"factura_notas_credito","rfc_propietario","varchar(50)","YES","","",""
"factura_traslados","id","int","NO","PRI","","auto_increment"
"factura_traslados","UUID","varchar(36)","YES","","",""
"factura_traslados","Base","varchar(50)","YES","","",""
"factura_traslados","Impuesto","varchar(5)","YES","","",""
"factura_traslados","TipoFactor","varchar(10)","YES","","",""
"factura_traslados","TasaOCuota","varchar(50)","YES","","",""
"factura_traslados","Importe","varchar(50)","YES","","",""
"factura_traslados","created_at","timestamp","YES","","now()","DEFAULT_GENERATED"
"factura_traslados","updated_at","datetime","YES","","now()","DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
"factura_traslados","created_by","varchar(100)","YES","","",""
"factura_traslados","updated_by","varchar(100)","YES","","",""
"factura_traslados","rfc_propietario","varchar(50)","YES","","",""
"general_sociedades","rfc","varchar(13)","NO","PRI","",""
"general_sociedades","razon_social","varchar(100)","YES","","",""
"general_sociedades","regimen_mercantil","varchar(100)","YES","","",""
"general_sociedades","alias_sociedad","varchar(3)","YES","","",""
"general_sociedades","created_at","timestamp","YES","","now()","DEFAULT_GENERATED"
"general_sociedades","updated_at","datetime","YES","","now()","DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
"general_sociedades","created_by","varchar(100)","YES","","",""
"general_sociedades","updated_by","varchar(100)","YES","","",""
"general_sociedades","grupo","varchar(50)","YES","","",""
"iam_identities","identity_id","char(8)","NO","PRI","",""
"iam_identities","user_id","char(8)","NO","MUL","",""
"iam_identities","provider","enum('google')","NO","","",""
"iam_identities","provider_subject","varchar(255)","NO","","",""
"iam_identities","email","varchar(254)","NO","","",""
"iam_identities","email_verified","tinyint(1)","NO","","0",""
"iam_identities","hosted_domain","varchar(255)","YES","","",""
"iam_identities","picture_url","varchar(2083)","YES","","",""
"iam_identities","last_login_at","datetime","YES","","",""
"iam_identities","created_at","datetime","YES","","",""
"iam_permissions","permission_id","char(8)","NO","PRI","",""
"iam_permissions","perm_key","varchar(120)","NO","UNI","",""
"iam_permissions","description","varchar(255)","YES","","",""
"iam_permissions","created_at","datetime","YES","","",""
"iam_permissions","created_by","char(8)","NO","MUL","",""
"iam_permissions","updated_at","datetime","YES","","",""
"iam_permissions","updated_by","char(8)","NO","MUL","",""
"iam_role_permissions","role_id","char(8)","NO","MUL","",""
"iam_role_permissions","permission_id","char(8)","NO","MUL","",""
"iam_role_permissions","created_at","datetime","YES","","",""
"iam_role_permissions","created_by","char(8)","NO","MUL","",""
"iam_role_permissions","updated_at","datetime","YES","","",""
"iam_role_permissions","updated_by","char(8)","NO","MUL","",""
"iam_roles","role_id","char(8)","NO","PRI","",""
"iam_roles","role_key","varchar(50)","NO","UNI","",""
"iam_roles","role_name","varchar(100)","NO","","",""
"iam_roles","description","varchar(255)","YES","","",""
"iam_roles","created_at","datetime","YES","","",""
"iam_roles","created_by","char(8)","NO","MUL","",""
"iam_roles","updated_at","datetime","YES","","",""
"iam_roles","updated_by","char(8)","NO","MUL","",""
"iam_user_centro_access","user_id","char(8)","NO","MUL","",""
"iam_user_centro_access","centro_id","varchar(255)","NO","","",""
"iam_user_centro_access","granted_by","char(8)","YES","MUL","",""
"iam_user_centro_access","granted_at","datetime","YES","","",""
"iam_user_centro_access","revoked_at","datetime","YES","","",""
"iam_user_contrato_access","user_id","char(8)","NO","MUL","",""
"iam_user_contrato_access","id_contrato","varchar(255)","NO","MUL","",""
"iam_user_contrato_access","granted_by","char(8)","YES","MUL","",""
"iam_user_contrato_access","granted_at","datetime","YES","","",""
"iam_user_contrato_access","revoked_at","datetime","YES","","",""
"iam_user_roles","assignment_id","char(8)","NO","PRI","",""
"iam_user_roles","user_id","char(8)","NO","MUL","",""
"iam_user_roles","role_id","char(8)","NO","MUL","",""
"iam_user_roles","scope_type","enum('GLOBAL','SOCIEDAD','PROYECTO')","NO","","GLOBAL",""
"iam_user_roles","scope_id","varchar(255)","NO","","*",""
"iam_user_roles","granted_by","char(8)","YES","MUL","",""
"iam_user_roles","granted_at","datetime","YES","","",""
"iam_user_roles","revoked_at","datetime","YES","","",""
"iam_users","user_id","char(8)","NO","PRI","",""
"iam_users","primary_email","varchar(254)","NO","UNI","",""
"iam_users","display_name","varchar(150)","YES","","",""
"iam_users","status","enum('ACTIVE','SUSPENDED','DELETED')","NO","","ACTIVE",""
"iam_users","access_mode","enum('STANDARD','RESTRICTED')","NO","","STANDARD",""
"iam_users","employee_id","varchar(255)","YES","MUL","",""
"iam_users","created_at","datetime","YES","","",""
"iam_users","updated_at","datetime","YES","","",""
